  pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   mavar,__deg |   __mag,_comp |   ____P,deg/s |   ____Q,deg/s |   ____R,deg/s | 
     -2.27497 |      -0.72467 |     166.53967 |     166.11354 |      -0.42613 |     166.24640 |       0.00003 |      -0.00048 |       0.00015 | 
     -2.27303 |      -0.72465 |     166.53981 |     166.11366 |      -0.42615 |     166.24661 |      -0.00000 |      -0.00174 |       0.00014 | 
     -2.27121 |      -0.72466 |     166.53989 |     166.11371 |      -0.42617 |     166.24706 |       0.00001 |      -0.00190 |       0.00014 | 
     -2.26973 |      -0.72465 |     166.54001 |     166.11382 |      -0.42619 |     166.24725 |      -0.00002 |      -0.00115 |       0.00017 | 
     -2.26827 |      -0.72468 |     166.54013 |     166.11391 |      -0.42622 |     166.24759 |      -0.00007 |      -0.00121 |       0.00016 | 
     -2.26665 |      -0.72472 |     166.54021 |     166.11397 |      -0.42624 |     166.24785 |      -0.00007 |      -0.00124 |       0.00015 | 
     -2.26522 |      -0.72477 |     166.54031 |     166.11404 |      -0.42626 |     166.24821 |      -0.00007 |      -0.00042 |       0.00016 | 
     -2.26389 |      -0.72482 |     166.54044 |     166.11415 |      -0.42628 |     166.24846 |      -0.00006 |       0.00001 |       0.00016 | 
     -2.26277 |      -0.72489 |     166.54056 |     166.11426 |      -0.42631 |     166.24878 |      -0.00008 |       0.00155 |       0.00013 | 
     -2.26096 |      -0.72494 |     166.54066 |     166.11433 |      -0.42633 |     166.24907 |      -0.00004 |       0.00144 |       0.00011 | 
     -2.25936 |      -0.72495 |     166.54074 |     166.11440 |      -0.42635 |     166.24934 |      -0.00002 |       0.00010 |       0.00011 | 
     -2.25802 |      -0.72494 |     166.54082 |     166.11444 |      -0.42637 |     166.24959 |       0.00002 |      -0.00135 |       0.00013 | 
     -2.25695 |      -0.72492 |     166.54092 |     166.11453 |      -0.42640 |     166.24989 |      -0.00000 |      -0.00283 |       0.00014 | 
     -2.25612 |      -0.72490 |     166.54103 |     166.11461 |      -0.42642 |     166.25012 |      -0.00001 |      -0.00304 |       0.00014 | 
     -2.25507 |      -0.72491 |     166.54114 |     166.11470 |      -0.42644 |     166.25023 |      -0.00003 |      -0.00393 |       0.00012 | 
     -2.25408 |      -0.72490 |     166.54121 |     166.11475 |      -0.42646 |     166.25050 |       0.00001 |      -0.00371 |       0.00013 | 
     -2.25329 |      -0.72489 |     166.54131 |     166.11482 |      -0.42649 |     166.25082 |      -0.00002 |      -0.00208 |       0.00014 | 
     -2.25237 |      -0.72490 |     166.54143 |     166.11491 |      -0.42651 |     166.25119 |      -0.00004 |       0.00197 |       0.00015 | 
     -2.25105 |      -0.72492 |     166.54155 |     166.11502 |      -0.42653 |     166.25172 |      -0.00007 |       0.00733 |       0.00014 | 
     -2.24719 |      -0.72493 |     166.54160 |     166.11504 |      -0.42656 |     166.25204 |       0.00008 |       0.00823 |       0.00013 | 
     -2.24489 |      -0.72488 |     166.54166 |     166.11508 |      -0.42658 |     166.25226 |       0.00015 |      -0.01795 |       0.00007 | 
     -2.24851 |      -0.72480 |     166.54178 |     166.11517 |      -0.42660 |     166.25241 |      -0.00004 |      -0.02177 |       0.00009 | 
     -2.24525 |      -0.72473 |     166.54185 |     166.11523 |      -0.42662 |     166.32648 |      -0.00004 |       0.02551 |       0.00012 | 
     -2.23905 |      -0.72461 |     166.54184 |     166.11519 |      -0.42665 |     166.36172 |       0.00026 |       0.00803 |       0.00007 | 
     -2.24292 |      -0.72443 |     166.54192 |     166.11525 |      -0.42667 |     166.37456 |       0.00018 |      -0.03155 |       0.00004 | 
     -2.24349 |      -0.72428 |     166.54198 |     166.11528 |      -0.42669 |     166.37932 |       0.00007 |       0.01826 |       0.00010 | 
     -2.23996 |      -0.72408 |     166.54201 |     166.11530 |      -0.42671 |     166.38118 |       0.00028 |      -0.01049 |       0.00011 | 
     -2.24288 |      -0.72394 |     166.54216 |     166.11542 |      -0.42674 |     166.38200 |       0.00005 |       0.00707 |       0.00013 | 
     -2.23970 |      -0.72379 |     166.54222 |     166.11546 |      -0.42676 |     166.38249 |       0.00016 |      -0.00415 |       0.00013 | 
     -2.23897 |      -0.72366 |     166.54231 |     166.11554 |      -0.42678 |     166.38260 |       0.00009 |       0.00029 |       0.00013 | 
     -2.23836 |      -0.72356 |     166.54239 |     166.11559 |      -0.42680 |     166.38271 |       0.00008 |      -0.00172 |       0.00013 | 
     -2.23847 |      -0.72348 |     166.54247 |     166.11565 |      -0.42683 |     166.38271 |       0.00004 |      -0.00179 |       0.00014 | 
     -2.23893 |      -0.72343 |     166.54257 |     166.11572 |      -0.42685 |     166.38271 |       0.00002 |      -0.00203 |       0.00014 | 
     -2.24008 |      -0.72341 |     166.54265 |     166.11578 |      -0.42687 |     166.38271 |      -0.00000 |      -0.00308 |       0.00014 | 
     -2.24136 |      -0.72341 |     166.54276 |     166.11586 |      -0.42689 |     166.38271 |      -0.00001 |      -0.00248 |       0.00016 | 
     -2.24288 |      -0.72343 |     166.54289 |     166.11598 |      -0.42692 |     166.38286 |      -0.00006 |      -0.00360 |       0.00014 | 
     -2.24488 |      -0.72348 |     166.54298 |     166.11604 |      -0.42694 |     166.38292 |      -0.00006 |      -0.00338 |       0.00015 | 
     -2.21693 |      -0.72329 |     166.54285 |     166.11589 |      -0.42696 |     166.38504 |       0.00080 |       0.06101 |       0.00042 | 
     -2.11332 |      -0.72145 |     166.54222 |     166.11523 |      -0.42698 |     166.39572 |       0.00298 |       0.14346 |       0.00106 | 
     -1.95219 |      -0.71742 |     166.54134 |     166.11433 |      -0.42700 |     166.44547 |       0.00468 |       0.16885 |       0.00103 | 
     -1.77595 |      -0.71227 |     166.53954 |     166.11250 |      -0.42703 |     166.52553 |       0.00553 |       0.18095 |      -0.00038 | 
     -1.58737 |      -0.70585 |     166.53603 |     166.10898 |      -0.42705 |     166.60342 |       0.00734 |       0.19534 |      -0.00192 | 
     -1.38017 |      -0.69691 |     166.53133 |     166.10425 |      -0.42707 |     166.65755 |       0.01014 |       0.21269 |      -0.00203 | 
     -1.15344 |      -0.68536 |     166.52710 |     166.10001 |      -0.42710 |     166.68320 |       0.01233 |       0.23408 |      -0.00069 | 
     -0.90820 |      -0.67247 |     166.52393 |     166.09680 |      -0.42712 |     166.68980 |       0.01322 |       0.25457 |       0.00001 | 
     -0.64271 |      -0.65933 |     166.52151 |     166.09438 |      -0.42714 |     166.68045 |       0.01264 |       0.27119 |       0.00162 | 
     -0.36340 |      -0.64776 |     166.52107 |     166.09390 |      -0.42716 |     166.65958 |       0.01014 |       0.28416 |       0.00385 | 
     -0.07092 |      -0.63966 |     166.52260 |     166.09541 |      -0.42719 |     166.63367 |       0.00572 |       0.29129 |       0.00558 | 
      0.22562 |      -0.63655 |     166.52548 |     166.09827 |      -0.42721 |     166.61012 |       0.00040 |       0.29304 |       0.00665 | 
      0.51739 |      -0.63881 |     166.52921 |     166.10197 |      -0.42723 |     166.59473 |      -0.00491 |       0.28678 |       0.00739 | 
      0.79816 |      -0.64610 |     166.53365 |     166.10638 |      -0.42725 |     166.59142 |      -0.00978 |       0.27445 |       0.00782 | 
      1.06583 |      -0.65800 |     166.53844 |     166.11116 |      -0.42728 |     166.60281 |      -0.01384 |       0.25444 |       0.00779 | 
      1.30886 |      -0.67312 |     166.54303 |     166.11574 |      -0.42730 |     166.64046 |      -0.01659 |       0.23067 |       0.00704 | 
      1.52596 |      -0.69035 |     166.54675 |     166.11943 |      -0.42732 |     166.70262 |      -0.01761 |       0.19747 |       0.00542 | 
      1.70618 |      -0.70755 |     166.54901 |     166.12167 |      -0.42734 |     166.77507 |      -0.01659 |       0.15832 |       0.00349 | 
      1.84412 |      -0.72282 |     166.54991 |     166.12254 |      -0.42737 |     166.84625 |      -0.01416 |       0.11396 |       0.00226 | 
      1.93981 |      -0.73545 |     166.55066 |     166.12328 |      -0.42739 |     166.90894 |      -0.01118 |       0.07309 |       0.00149 | 
      1.99261 |      -0.74504 |     166.55063 |     166.12321 |      -0.42741 |     166.95773 |      -0.00804 |       0.03010 |      -0.00020 | 
      2.00326 |      -0.75131 |     166.54958 |     166.12215 |      -0.42743 |     166.99078 |      -0.00446 |      -0.01105 |      -0.00143 | 
      1.96821 |      -0.75403 |     166.54839 |     166.12093 |      -0.42746 |     167.01070 |      -0.00127 |      -0.07872 |      -0.00171 | 
      1.85684 |      -0.75474 |     166.54813 |     166.12065 |      -0.42748 |     167.02193 |      -0.00035 |      -0.14197 |      -0.00172 | 
